Id,Full Name,Birth date,Birth Place,Role,Batting Style,Bowling Style,Fielding Style
4091,Charles Bannerman,"July 3, 1851","Woolwich, Kent, England",Batsman,Right-hand bat,DNB,NA
4153,John McCarthy Blackham,"May 11, 1854","North Fitzroy, Melbourne, Victoria",NA,Right-hand bat,DNB,Wicketkeeper
4625,Bransby Beauchamp Cooper,"March 15, 1844","Dacca, India",NA,Right-hand bat,DNB,Wicketkeeper
5364,Thomas William Garrett,"July 26, 1858","Wollongong, New South Wales",NA,Right-hand bat,Right-arm fast-medium,NA
5432,David William Gregory,"April 15, 1845","Fairy Meadow, New South Wales",NA,Right-hand bat,DNB,NA
5433,Edward James Gregory,"May 29, 1839","Waverley, Sydney, New South Wales",NA,Right-hand bat,DNB,NA
5670,John Robart Hodges,"August 11, 1855","Knightsbridge, London, England",NA,Left-hand bat,DNB,NA
5705,Thomas Patrick Horan,"March 8, 1854","Midleton, Co Cork, Ireland",NA,Right-hand bat,DNB,NA
6141,Thomas Kingston Kendall,"August 24, 1851","Bedford, England",NA,Left-hand bat,DNB,NA
6605,William Evans Midwinter,"June 19, 1851","Lower Meend, St Briavels, Gloucestershire, England",NA,Right-hand bat,DNB,NA
7948,Nathaniel Frampton Davis Thomson,"May 29, 1839","Surry Hills, Sydney, New South Wales",NA,Right-hand bat,DNB,Wicketkeeper
6138,Thomas Joseph Dart Kelly,"May 3, 1844","Co Waterford, Ireland",NA,Right-hand bat,Right-arm bowler,NA
6669,William Lloyd Murdoch,"October 18, 1854","Sandhurst, Victoria",NA,Right-hand bat,DNB,Wicketkeeper
7663,Frederick Robert Spofforth,"September 9, 1853","Balmain, Sydney, New South Wales",NA,Right-hand bat,Right-arm fast-medium,NA
3950,Francis Erskine Allan,"December 2, 1849","Allansford, Victoria",NA,Right-hand bat,DNB,NA
4089,Alexander Chalmers Bannerman,"March 21, 1854","Paddington, Sydney, New South Wales",NA,Right-hand bat,DNB,NA
4183,Henry Frederick Boyle,"December 10, 1847","Sydney, New South Wales",NA,Right-hand bat,DNB,NA
3944,George Alexander,"April 22, 1851","Fitzroy, Australia",NA,Right-hand bat,DNB,NA
4167,George John Bonnor,"February 25, 1855","Bathurst, New South Wales",NA,Right-hand bat,Right-arm medium,NA
5446,Thomas Underwood Groube,"September 2, 1857","New Plymouth, Taranaki, New Zealand",NA,Right-hand bat,Right-arm medium,NA
6557,Percy Stanislaus McDonnell,"November 13, 1860","Kennington, London, England",NA,Right-hand bat,DNB,NA
6658,William Henry Moule,"January 31, 1858","Brighton, Victoria",NA,Right-hand bat,Right-arm medium,NA
7071,George Eugene Palmer,"February 22, 1859","Mulwala, Corowa, New South Wales",NA,Right-hand bat,Right-arm offbreak,NA
7631,James Slight,"October 20, 1855","Ashby, Geelong, Victoria",NA,Right-hand bat,DNB,NA
4626,William Henry Cooper,"September 11, 1849","Maidstone, Kent, England",NA,Right-hand bat,Legbreak googly,NA
5143,Edwin Evans,"March 26, 1849","Emu Plains, New South Wales",NA,Right-hand bat,Right-arm slow,NA
5382,George Giffen,"March 27, 1859","Norwood, Adelaide, South Australia",NA,Right-hand bat,Right-arm medium,NA
6517,Hugh Hamon Massie,"April 11, 1854","near Belfast (now Port Fairy), Victoria",NA,Right-hand bat,DNB,NA
4635,George Coulthard,"August 1, 1856","Boroondara, Victoria",NA,Right-hand bat,Right-arm medium,NA
6050,Samuel Percy Jones,"August 1, 1861","Sydney, New South Wales",NA,Right-hand bat,Right-arm fast-medium,NA
7581,Henry James Herbert Scott,"December 26, 1858","Toorak, Melbourne, Victoria",NA,Right-hand bat,Right-arm medium-fast,NA
4228,William Bruce,"May 22, 1864","South Yarra, Melbourne, Victoria",NA,Left-hand bat,Left-arm medium,NA
6014,Arthur Harwood Jarvis,"October 19, 1860","Hindmarsh, Adelaide, South Australia",NA,Right-hand bat,DNB,Wicketkeeper
6492,Alfred Percy Marr,"March 28, 1862","Pyrmont, Sydney, New South Wales",NA,Right-hand bat,Right-arm medium,NA
6647,Samuel Morris,"June 22, 1855","Hobart, Tasmania",NA,Right-hand bat,Right-arm medium,NA
6676,Henry Alfred Musgrove,"November 27, 1858","Surbiton, Surrey, England",NA,Right-hand bat,DNB,NA
7134,Roland James Pope,"February 18, 1864","Ashfield, Sydney, New South Wales",NA,Right-hand bat,DNB,Occasional wicketkeeper
7367,William Roderick Robertson,"October 6, 1861","Deniliquin, New South Wales",NA,Right-hand bat,Legbreak,NA
7978,John William Trumble,"September 16, 1863","Collingwood, Melbourne, Victoria",NA,Right-hand bat,Right-arm offbreak,NA
8260,John Worrall,"June 20, 1860",NA,NA,Right-hand bat,DNB,NA
6596,Patrick George McShane,"April 18, 1858","Keilor, Victoria",NA,Left-hand bat,Left-arm medium,NA
8149,Francis Henry Walters,"February 9, 1860","East Melbourne, Victoria",NA,Right-hand bat,Right-arm medium,NA
6570,John McIlwraith,"September 7, 1857","Collingwood, Melbourne, Victoria",NA,Right-hand bat,DNB,NA
5225,John James Ferris,"May 21, 1867","Sydney, New South Wales",NA,Left-hand bat,Left-arm bowler,NA
6652,Henry Moses,"February 13, 1858","Windsor, New South Wales",NA,Left-hand bat,DNB,NA
7990,Charles Thomas Biass Turner,"November 16, 1862","Bathurst, New South Wales",NA,Right-hand bat,Right-arm medium-fast,NA
3958,Reginald Charles Allen,"July 2, 1858","Glebe, Sydney, New South Wales",NA,Right-hand bat,Right-arm fast-medium,NA
4250,Frederick John Burton,"November 2, 1865","Collingwood, Melbourne, Victoria",NA,Right-hand bat,DNB,Wicketkeeper
4631,John Thomas Cottam,"September 5, 1867","Strawberry Hills, New South Wales",NA,Right-hand bat,Legbreak,NA
5383,Walter Frank Giffen,"September 20, 1861","Norwood, Adelaide, South Australia",NA,Right-hand bat,DNB,NA
