Player Name,Player First Match,Player_cricinfo_id,Format,Format_id,Country,Country_id
C Bannerman,"Australia v England at Melbourne, 1876/77",4091,Test,1,Australia,2
JM Blackham,"Australia v England at Melbourne, 1876/77",4153,Test,1,Australia,2
BB Cooper,"Australia v England at Melbourne, 1876/77",4625,Test,1,Australia,2
TW Garrett,"Australia v England at Melbourne, 1876/77",5364,Test,1,Australia,2
DW Gregory,"Australia v England at Melbourne, 1876/77",5432,Test,1,Australia,2
EJ Gregory,"Australia v England at Melbourne, 1876/77",5433,Test,1,Australia,2
JR Hodges,"Australia v England at Melbourne, 1876/77",5670,Test,1,Australia,2
TP Horan,"Australia v England at Melbourne, 1876/77",5705,Test,1,Australia,2
TK Kendall,"Australia v England at Melbourne, 1876/77",6141,Test,1,Australia,2
WE Midwinter,"Australia v England at Melbourne, 1876/77",6605,Test,1,Australia,2
NFD Thomson,"Australia v England at Melbourne, 1876/77",7948,Test,1,Australia,2
TJD Kelly,"Australia v England at Melbourne, 1876/77",6138,Test,1,Australia,2
WL Murdoch,"Australia v England at Melbourne, 1876/77",6669,Test,1,Australia,2
FR Spofforth,"Australia v England at Melbourne, 1876/77",7663,Test,1,Australia,2
FE Allan,"Australia v England at Melbourne, 1878/79",3950,Test,1,Australia,2
AC Bannerman,"Australia v England at Melbourne, 1878/79",4089,Test,1,Australia,2
HF Boyle,"Australia v England at Melbourne, 1878/79",4183,Test,1,Australia,2
G Alexander,"England v Australia at The Oval, 1880",3944,Test,1,Australia,2
GJ Bonnor,"England v Australia at The Oval, 1880",4167,Test,1,Australia,2
TU Groube,"England v Australia at The Oval, 1880",5446,Test,1,Australia,2
PS McDonnell,"England v Australia at The Oval, 1880",6557,Test,1,Australia,2
WH Moule,"England v Australia at The Oval, 1880",6658,Test,1,Australia,2
GE Palmer,"England v Australia at The Oval, 1880",7071,Test,1,Australia,2
J Slight,"England v Australia at The Oval, 1880",7631,Test,1,Australia,2
WH Cooper,"Australia v England at Melbourne, 1881/82",4626,Test,1,Australia,2
E Evans,"Australia v England at Melbourne, 1881/82",5143,Test,1,Australia,2
G Giffen,"Australia v England at Melbourne, 1881/82",5382,Test,1,Australia,2
HH Massie,"Australia v England at Melbourne, 1881/82",6517,Test,1,Australia,2
G Coulthard,"Australia v England at Sydney, 1881/82",4635,Test,1,Australia,2
SP Jones,"Australia v England at Sydney, 1881/82",6050,Test,1,Australia,2
HJH Scott,"England v Australia at Manchester, 1884",7581,Test,1,Australia,2
W Bruce,"Australia v England at Melbourne, 1884/85",4228,Test,1,Australia,2
AH Jarvis,"Australia v England at Melbourne, 1884/85",6014,Test,1,Australia,2
AP Marr,"Australia v England at Melbourne, 1884/85",6492,Test,1,Australia,2
S Morris,"Australia v England at Melbourne, 1884/85",6647,Test,1,Australia,2
HA Musgrove,"Australia v England at Melbourne, 1884/85",6676,Test,1,Australia,2
RJ Pope,"Australia v England at Melbourne, 1884/85",7134,Test,1,Australia,2
WR Robertson,"Australia v England at Melbourne, 1884/85",7367,Test,1,Australia,2
JW Trumble,"Australia v England at Melbourne, 1884/85",7978,Test,1,Australia,2
J Worrall,"Australia v England at Melbourne, 1884/85",8260,Test,1,Australia,2
PG McShane,"Australia v England at Melbourne, 1884/85",6596,Test,1,Australia,2
FH Walters,"Australia v England at Melbourne, 1884/85",8149,Test,1,Australia,2
J McIlwraith,"England v Australia at The Oval, 1886",6570,Test,1,Australia,2
JJ Ferris,"Australia v England at Sydney, 1886/87",5225,Test,1,Australia,2
H Moses,"Australia v England at Sydney, 1886/87",6652,Test,1,Australia,2
CTB Turner,"Australia v England at Sydney, 1886/87",7990,Test,1,Australia,2
RC Allen,"Australia v England at Sydney, 1886/87",3958,Test,1,Australia,2
FJ Burton,"Australia v England at Sydney, 1886/87",4250,Test,1,Australia,2
JT Cottam,"Australia v England at Sydney, 1886/87",4631,Test,1,Australia,2
WF Giffen,"Australia v England at Sydney, 1886/87",5383,Test,1,Australia,2
JJ Lyons,"Australia v England at Sydney, 1886/87",6328,Test,1,Australia,2
JD Edwards,"England v Australia at Lord's, 1888",5122,Test,1,Australia,2
GHS Trott,"England v Australia at Lord's, 1888",7974,Test,1,Australia,2
SMJ Woods,"England v Australia at Lord's, 1888",22492,Test,1,Australia,2
JE Barrett,"England v Australia at Lord's, 1890",4102,Test,1,Australia,2
EJK Burn,"England v Australia at Lord's, 1890",4245,Test,1,Australia,2
PC Charlton,"England v Australia at Lord's, 1890",4563,Test,1,Australia,2
SE Gregory,"England v Australia at Lord's, 1890",5438,Test,1,Australia,2
H Trumble,"England v Australia at Lord's, 1890",7977,Test,1,Australia,2
ST Callaway,"Australia v England at Melbourne, 1891/92",4516,Test,1,Australia,2
H Donnan,"Australia v England at Melbourne, 1891/92",4969,Test,1,Australia,2
RW McLeod,"Australia v England at Melbourne, 1891/92",6585,Test,1,Australia,2
H Graham,"England v Australia at Lord's, 1893",5422,Test,1,Australia,2
J Darling,"Australia v England at Sydney, 1894/95",4897,Test,1,Australia,2
FA Iredale,"Australia v England at Sydney, 1894/95",5976,Test,1,Australia,2
E Jones,"Australia v England at Sydney, 1894/95",6046,Test,1,Australia,2
CE McLeod,"Australia v England at Sydney, 1894/95",6584,Test,1,Australia,2
JC Reedman,"Australia v England at Sydney, 1894/95",7315,Test,1,Australia,2
A Coningham,"Australia v England at Melbourne, 1894/95",4611,Test,1,Australia,2
J Harry,"Australia v England at Adelaide, 1894/95",5588,Test,1,Australia,2
AE Trott,"Australia v England at Adelaide, 1894/95",21593,Test,1,Australia,2
TR McKibbin,"Australia v England at Melbourne, 1894/95",6579,Test,1,Australia,2
CJ Eady,"England v Australia at Lord's, 1896",5115,Test,1,Australia,2
C Hill,"England v Australia at Lord's, 1896",5662,Test,1,Australia,2
JJ Kelly,"England v Australia at Lord's, 1896",6136,Test,1,Australia,2
MA Noble,"Australia v England at Melbourne, 1897/98",6936,Test,1,Australia,2
WP Howell,"Australia v England at Adelaide, 1897/98",5716,Test,1,Australia,2
FJ Laver,"England v Australia at Nottingham, 1899",6402,Test,1,Australia,2
VT Trumper,"England v Australia at Nottingham, 1899",7980,Test,1,Australia,2
WW Armstrong,"Australia v England at Melbourne, 1901/02",3982,Test,1,Australia,2
RA Duff,"Australia v England at Melbourne, 1901/02",4985,Test,1,Australia,2
AJY Hopkins,"Australia v England at Sydney, 1901/02",5703,Test,1,Australia,2
JV Saunders,"Australia v England at Sydney, 1901/02",7564,Test,1,Australia,2
JPF Travers,"Australia v England at Melbourne, 1901/02",7963,Test,1,Australia,2
A Cotter,"Australia v England at Sydney, 1903/04",4632,Test,1,Australia,2
PA McAlister,"Australia v England at Sydney, 1903/04",6536,Test,1,Australia,2
DRA Gehrs,"Australia v England at Melbourne, 1903/04",5375,Test,1,Australia,2
H Carter,"Australia v England at Sydney, 1907/08",4542,Test,1,Australia,2
GR Hazlitt,"Australia v England at Sydney, 1907/08",5622,Test,1,Australia,2
CG Macartney,"Australia v England at Sydney, 1907/08",6434,Test,1,Australia,2
VS Ransford,"Australia v England at Sydney, 1907/08",7308,Test,1,Australia,2
MJ Hartigan,"Australia v England at Adelaide, 1907/08",5905,Test,1,Australia,2
JDA O'Connor,"Australia v England at Adelaide, 1907/08",6992,Test,1,Australia,2
W Bardsley,"England v Australia at Birmingham, 1909",4095,Test,1,Australia,2
WJ Whitty,"England v Australia at Birmingham, 1909",8222,Test,1,Australia,2
C Kelleway,"Australia v South Africa at Sydney, 1910/11",6132,Test,1,Australia,2
HV Hordern,"Australia v South Africa at Melbourne, 1910/11",5706,Test,1,Australia,2
RB Minnett,"Australia v England at Sydney, 1911/12",6622,Test,1,Australia,2
