Rank,Player Name,Player Country,Ratings,Type,Format
0,Virat Kohli,IND,869,Batting,ODI
1,Rohit Sharma,IND,855,Batting,ODI
2,Babar Azam,PAK,829,Batting,ODI
3,Ross Taylor,NZ,828,Batting,ODI
4,Francois du Plessis,SA,791,Batting,ODI
5,David Warner,AUS,781,Batting,ODI
6,Kane Williamson,NZ,773,Batting,ODI
7,Joe Root,ENG,770,Batting,ODI
8,Aaron Finch,AUS,758,Batting,ODI
9,Quinton de Kock,SA,754,Batting,ODI
10,Jason Roy,ENG,753,Batting,ODI
11,Imam-ul-Haq,PAK,751,Batting,ODI
12,Shai Hope,WI,750,Batting,ODI
13,Jonny Bairstow,ENG,749,Batting,ODI
14,Fakhar Zaman,PAK,710,Batting,ODI
15,Martin Guptill,NZ,710,Batting,ODI
16,Shikhar Dhawan,IND,699,Batting,ODI
17,Usman Khawaja,AUS,699,Batting,ODI
18,Jos Buttler,ENG,695,Batting,ODI
19,Mushfiqur Rahim,BAN,695,Batting,ODI
20,Steve Smith,AUS,681,Batting,ODI
21,Ben Stokes,ENG,674,Batting,ODI
22,Eoin Morgan,ENG,667,Batting,ODI
23,Tamim Iqbal,BAN,663,Batting,ODI
24,Shimron Hetmyer,WI,653,Batting,ODI
25,MS Dhoni,IND,634,Batting,ODI
26,Paul Stirling,IRE,630,Batting,ODI
27,David Miller,SA,625,Batting,ODI
28,Rassie van der Dussen,SA,616,Batting,ODI
29,Nicholas Pooran,WI,614,Batting,ODI
30,Haris Sohail,PAK,607,Batting,ODI
31,Glenn Maxwell,AUS,607,Batting,ODI
32,Tom Latham,NZ,597,Batting,ODI
33,Lokesh Rahul,IND,596,Batting,ODI
34,Henry Nicholls,NZ,592,Batting,ODI
35,Angelo Mathews,SL,587,Batting,ODI
36,Kyle Coetzer,SCO,587,Batting,ODI
37,Alex Carey,AUS,583,Batting,ODI
38,Aqib Ilyas,OMA,578,Batting,ODI
39,Kedar Jadhav,IND,577,Batting,ODI
40,Litton Das,BAN,573,Batting,ODI
41,Rahmat Shah,AFG,564,Batting,ODI
42,Soumya Sarkar,BAN,563,Batting,ODI
43,Mohammad Hafeez,PAK,561,Batting,ODI
44,Kusal Mendis,SL,556,Batting,ODI
45,Andrew Balbirnie,IRE,551,Batting,ODI
46,Alex Hales,ENG,545,Batting,ODI
47,Marcus Stoinis,AUS,540,Batting,ODI
48,Sikandar Raza,ZIM,540,Batting,ODI
49,Kusal Perera,SL,539,Batting,ODI
50,Evin Lewis,WI,538,Batting,ODI
51,Niroshan Dickwella,SL,537,Batting,ODI
52,Brendan Taylor,ZIM,536,Batting,ODI
53,Imad Wasim,PAK,535,Batting,ODI
54,Mahmudullah,BAN,533,Batting,ODI
55,Sarfaraz Ahmed,PAK,530,Batting,ODI
56,Mohammad Shahzad,AFG,528,Batting,ODI
57,Calum MacLeod,SCO,522,Batting,ODI
58,Kevin O'Brien,IRE,522,Batting,ODI
59,Chris Gayle,WI,520,Batting,ODI
60,Sean Williams,ZIM,519,Batting,ODI
61,Shreyas Iyer,IND,513,Batting,ODI
62,Najibullah Zadran,AFG,513,Batting,ODI
63,Shaun Marsh,AUS,511,Batting,ODI
64,Avishka Fernando,SL,510,Batting,ODI
65,Colin de Grandhomme,NZ,510,Batting,ODI
66,Jimmy Neesham,NZ,507,Batting,ODI
67,Mohammad Nabi,AFG,500,Batting,ODI
68,Peter Handscomb,AUS,500,Batting,ODI
69,Heinrich Klaasen,SA,499,Batting,ODI
70,Shaiman Anwar,UAE,497,Batting,ODI
71,William Porterfield,IRE,495,Batting,ODI
72,Hashmatullah Shaidi,AFG,493,Batting,ODI
73,Hardik Pandya,IND,491,Batting,ODI
74,Danushka Gunathilaka,SL,488,Batting,ODI
75,Mitchell Marsh,AUS,486,Batting,ODI
76,Ambati Rayudu,IND,484,Batting,ODI
77,Asghar Afghan,AFG,479,Batting,ODI
78,Colin Munro,NZ,478,Batting,ODI
79,Richard Berrington,SCO,478,Batting,ODI
80,Craig Ervine,ZIM,475,Batting,ODI
81,Upul Tharanga,SL,473,Batting,ODI
82,Lahiru Thirimanne,SL,463,Batting,ODI
83,Mitchell Santner,NZ,462,Batting,ODI
84,Thisara Perera,SL,459,Batting,ODI
85,Sabbir Rahman,BAN,457,Batting,ODI
86,Muhammad Usman,UAE,453,Batting,ODI
87,Jason Holder,WI,449,Batting,ODI
88,Assad Vala,PNG,443,Batting,ODI
89,Dhananjaya de Silva,SL,442,Batting,ODI
90,Aiden Markram,SA,442,Batting,ODI
91,Moeen Ali,ENG,427,Batting,ODI
92,Andile Phehlukwayo,SA,425,Batting,ODI
93,Mithun Ali,BAN,423,Batting,ODI
94,Gulbadin Naib,AFG,419,Batting,ODI
95,Ravindra Jadeja,IND,419,Batting,ODI
96,Matthew Cross,SCO,416,Batting,ODI
97,Tony Ura,PNG,415,Batting,ODI
98,Rashid Khan,AFG,402,Batting,ODI
99,Chris Woakes,ENG,400,Batting,ODI
0,Trent Boult,NZ,727,Bowling,odi
1,Jasprit Bumrah,IND,719,Bowling,odi
2,Mujeeb Ur Rahman,AFG,701,Bowling,odi
3,Pat Cummins,AUS,671,Bowling,odi
4,Kagiso Rabada,SA,664,Bowling,odi
5,Chris Woakes,ENG,659,Bowling,odi
6,Mohammad Amir,PAK,656,Bowling,odi
7,Matt Henry,NZ,643,Bowling,odi
8,Lachlan Ferguson,NZ,638,Bowling,odi
9,Mitchell Starc,AUS,637,Bowling,odi
10,Rashid Khan,AFG,630,Bowling,odi
11,Mehedi Hasan,BAN,626,Bowling,odi
12,Yuzvendra Chahal,IND,622,Bowling,odi
13,Lungi Ngidi,SA,618,Bowling,odi
14,Akila Dananjaya,SL,611,Bowling,odi
15,Mustafizur Rahman,BAN,609,Bowling,odi
16,Kuldeep Yadav,IND,609,Bowling,odi
17,Mohammad Nabi,AFG,603,Bowling,odi
18,Josh Hazlewood,AUS,601,Bowling,odi
19,Bhuvneshwar Kumar,IND,596,Bowling,odi
20,Mark Wood,ENG,591,Bowling,odi
21,Shaheen Afridi,PAK,588,Bowling,odi
22,Ravindra Jadeja,IND,588,Bowling,odi
23,Mohammad Shami,IND,586,Bowling,odi
24,Sheldon Cottrell,WI,575,Bowling,odi
25,Dale Steyn,SA,572,Bowling,odi
26,Liam Plunkett,ENG,571,Bowling,odi
27,Jofra Archer,ENG,568,Bowling,odi
28,Adil Rashid,ENG,565,Bowling,odi
29,Shadab Khan,PAK,560,Bowling,odi
30,Andy McBrine,IRE,552,Bowling,odi
31,Adam Zampa,AUS,532,Bowling,odi
32,Dwaine Pretorius,SA,523,Bowling,odi
33,Mitchell Santner,NZ,523,Bowling,odi
34,Colin de Grandhomme,NZ,522,Bowling,odi
35,Andile Phehlukwayo,SA,520,Bowling,odi
36,Imad Wasim,PAK,520,Bowling,odi
37,Ahmed Raza,UAE,516,Bowling,odi
38,Tim Southee,NZ,509,Bowling,odi
39,Jhye Richardson,AUS,506,Bowling,odi
40,Boyd Rankin,IRE,504,Bowling,odi
41,Usman Khan,PAK,503,Bowling,odi
42,Ish Sodhi,NZ,500,Bowling,odi
43,Moeen Ali,ENG,500,Bowling,odi
44,Nuwan Pradeep,SL,500,Bowling,odi
45,Tendai Chatara,ZIM,498,Bowling,odi
46,Mashrafe Mortaza,BAN,498,Bowling,odi
47,Hasan Ali,PAK,495,Bowling,odi
48,Alzarri Joseph,WI,492,Bowling,odi
49,Mohammad Mohammad Saifuddin,BAN,490,Bowling,odi
50,Nathan Coulter-Nile,AUS,488,Bowling,odi
51,Mark Watt,SCO,487,Bowling,odi
52,Tabraiz Shamsi,SA,484,Bowling,odi
53,Safyaan Sharif,SCO,482,Bowling,odi
54,Nathan Lyon,AUS,477,Bowling,odi
55,Jason Holder,WI,475,Bowling,odi
56,David Willey,ENG,471,Bowling,odi
57,Chris Morris,SA,469,Bowling,odi
58,Kyle Jarvis,ZIM,465,Bowling,odi
59,Junaid Khan,PAK,461,Bowling,odi
60,Suranga Lakmal,SL,461,Bowling,odi
61,Rohan Mustafa,UAE,458,Bowling,odi
