Rank,Player Name,Player Country,Ratings,Type,Format
0,Babar Azam,PAK,879,Batting,T20
1,Lokesh Rahul,IND,823,Batting,T20
2,Aaron Finch,AUS,820,Batting,T20
3,Colin Munro,NZ,785,Batting,T20
4,Glenn Maxwell,AUS,721,Batting,T20
5,Dawid Malan,ENG,718,Batting,T20
6,Eoin Morgan,ENG,687,Batting,T20
7,Hazratullah,AFG,676,Batting,T20
8,Evin Lewis,WI,674,Batting,T20
9,Virat Kohli,IND,673,Batting,T20
10,Rohit Sharma,IND,662,Batting,T20
11,Martin Guptill,NZ,641,Batting,T20
12,Jason Roy,ENG,625,Batting,T20
13,Quinton de Kock,SA,625,Batting,T20
14,D'Arcy Short,AUS,599,Batting,T20
15,Kane Williamson,NZ,584,Batting,T20
16,George Munsey,SCO,583,Batting,T20
17,David Warner,AUS,581,Batting,T20
18,Reeza Hendricks,SA,580,Batting,T20
19,Paul Stirling,IRE,575,Batting,T20
20,Alex Hales,ENG,568,Batting,T20
21,Fakhar Zaman,PAK,563,Batting,T20
22,Litton Das,BAN,563,Batting,T20
23,David Miller,SA,563,Batting,T20
24,Jonny Bairstow,ENG,562,Batting,T20
25,Rassie van der Dussen,SA,554,Batting,T20
26,Shikhar Dhawan,IND,553,Batting,T20
27,Richard Berrington,SCO,542,Batting,T20
28,Kusal Perera,SL,540,Batting,T20
29,Mohammad Nabi,AFG,529,Batting,T20
30,Mahmudullah,BAN,529,Batting,T20
31,Francois du Plessis,SA,524,Batting,T20
32,Jos Buttler,ENG,523,Batting,T20
33,Joe Root,ENG,522,Batting,T20
34,Kyle Coetzer,SCO,511,Batting,T20
35,Kevin O'Brien,IRE,509,Batting,T20
36,Tim Seifert,NZ,508,Batting,T20
37,Max O'Dowd,NED,508,Batting,T20
38,Andrew Balbirnie,IRE,504,Batting,T20
39,Rahmanullah Gurbaz,AFG,503,Batting,T20
40,Tony Ura,PNG,503,Batting,T20
41,Ross Taylor,NZ,502,Batting,T20
42,Ben Cooper,NED,496,Batting,T20
43,Mohammad Naim,BAN,492,Batting,T20
44,Shoaib Malik,PAK,487,Batting,T20
45,Soumya Sarkar,BAN,484,Batting,T20
46,Najibullah Zadran,AFG,483,Batting,T20
47,Calum MacLeod,SCO,483,Batting,T20
48,Jatinder Singh,OMA,482,Batting,T20
49,Matthew Cross,SCO,475,Batting,T20
50,Tamim Iqbal,BAN,475,Batting,T20
51,Steve Smith,AUS,463,Batting,T20
52,Muhammad Usman,UAE,458,Batting,T20
53,Shaiman Anwar,UAE,458,Batting,T20
54,Tim David,SIN,457,Batting,T20
55,Shreyas Iyer,IND,451,Batting,T20
56,Asghar Afghan,AFG,451,Batting,T20
57,Sean Williams,ZIM,451,Batting,T20
58,Temba Bavuma,SA,449,Batting,T20
59,Mushfiqur Rahim,BAN,449,Batting,T20
60,Manish Pandey,IND,447,Batting,T20
61,JP Duminy,SA,446,Batting,T20
62,Kamran Khan,QAT,445,Batting,T20
63,Ravija Sandaruwan,KUW,435,Batting,T20
64,Sabbir Rahman,BAN,431,Batting,T20
65,Sarfaraz Ahmed,PAK,430,Batting,T20
66,Collins Obuya,KEN,429,Batting,T20
67,James Vince,ENG,420,Batting,T20
68,Gareth Delany,IRE,412,Batting,T20
69,Thisara Perera,SL,410,Batting,T20
70,Danushka Gunathilaka,SL,407,Batting,T20
71,Colin de Grandhomme,NZ,407,Batting,T20
72,Mohammad Hafeez,PAK,407,Batting,T20
73,Nizakat Khan,HK,405,Batting,T20
74,Paras Khadka,NEP,400,Batting,T20
75,Zeeshan Maqsood,OMA,398,Batting,T20
76,Ryan ten Doeschate,NED,396,Batting,T20
77,Rakep Patel,KEN,394,Batting,T20
78,Lendl Simmons,WI,392,Batting,T20
79,Gerhard Erasmus,NAM,390,Batting,T20
80,Kieron Pollard,WI,390,Batting,T20
81,Kusal Mendis,SL,384,Batting,T20
82,Muhammad Tanveer,QAT,382,Batting,T20
83,Iftikhar Ahmed,PAK,377,Batting,T20
84,Brendan Taylor,ZIM,376,Batting,T20
85,Navneet Dhaliwal,CAN,375,Batting,T20
86,Heinrich Klaasen,SA,374,Batting,T20
87,Rohan Mustafa,UAE,370,Batting,T20
88,Hussain Talat,PAK,366,Batting,T20
89,Samiullah Shenwari,AFG,366,Batting,T20
90,Nicholas Pooran,WI,360,Batting,T20
91,Harry Tector,IRE,359,Batting,T20
92,Khawar Ali,OMA,359,Batting,T20
93,Nitish Kumar,CAN,356,Batting,T20
94,Niroshan Dickwella,SL,355,Batting,T20
95,Stephan Baard,NAM,354,Batting,T20
96,Tobias Visee,NED,352,Batting,T20
97,Shimron Hetmyer,WI,350,Batting,T20
98,Aqib Ilyas,OMA,339,Batting,T20
99,Elton Chigumbura,ZIM,337,Batting,T20
0,Rashid Khan,AFG,736,Bowling,T20
1,Mujeeb Ur Rahman,AFG,730,Bowling,T20
2,Adam Zampa,AUS,713,Bowling,T20
3,Ashton Agar,AUS,712,Bowling,T20
4,Tabraiz Shamsi,SA,681,Bowling,T20
5,Mitchell Santner,NZ,677,Bowling,T20
6,Imad Wasim,PAK,672,Bowling,T20
7,Adil Rashid,ENG,658,Bowling,T20
8,Shadab Khan,PAK,653,Bowling,T20
